Candidate,Election Status,Status of Candidate,Specific Party,General Party,Election Jurisdiction,Election Year,Election Type,Office Sought,Incumbency Status,# of Records,Total $
"FORIEST, TONY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 006,CHALLENGER,42.00,46219.00
"YOW, BILLY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 006,CHALLENGER,43.00,45296.00
"CROW, RANDY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 007,OPEN,0.00,0.00
"MCINTYRE, MIKE",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 007,INCUMBENT,2287.00,2317748.00
"PANTANO, ILARIO GREGORY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 007,OPEN,2455.00,466305.00
"ROUZER, DAVID CHESTON",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 007,CHALLENGER,1812.00,1476578.00
"BLUE, ANTONIO",LOST-GENERAL,LOST,WRITEIN,THIRD-PARTY,NC,2012,STANDARD,US HOUSE DISTRICT NC 008,CHALLENGER,46.00,4466.00
"HUDSON JR, RICHARD LANE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 008,CHALLENGER,1571.00,1523712.00
"KEADLE, SCOTT",LOST-PRIMARY RUNOFF,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 008,OPEN,482.00,694140.00
"KISSELL, LARRY W",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 008,INCUMBENT,1337.00,1371799.00
"ROBINSON, VERNON L",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 008,OPEN,1017.00,1077407.00
"STEEN II, FRED F",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 008,OPEN,114.00,88570.00
"WHITLEY, JOHN MATTHEW",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 008,OPEN,42.00,234001.00
"WILLIAMS, MARCUS W",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 008,CHALLENGER,97.00,17370.00
"BARRY, DANIEL B",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,343.00,493508.00
"CAMPBELL, CURTIS",LOST-GENERAL,LOST,LIBERTARIAN,THIRD-PARTY,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,0.00,0.00
"DULIN, ANDY T",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,63.00,50301.00
"GAUTHIER, JON",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,43.00,35486.00
"KILLIAN, RICHARD (RIC)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,102.00,80879.00
"LEONCZYK, KEN",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,83.00,57149.00
"LYNCH, RICHARD",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,0.00,0.00
"PEACOCK III, EDWIN B",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,169.00,-51438.00
"PENDERGRAPH, JIM",LOST-PRIMARY RUNOFF,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,831.00,410839.00
"PITTENGER, ROBERT M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,1159.00,3267955.00
"ROBERTS, JENNIFER",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,1048.00,594305.00
"SHAFFER, MICHAEL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,7.00,11050.00
"STEINBERG, MICHAEL D (MIKE)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 009,OPEN,0.00,0.00
"BELLAMY, TERRY MICHELLE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 010,OPEN,347.00,255047.00
"FORTENBERRY, KEN H",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,15.00,6297.00
"KEEVER, PATSY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,854.00,402121.00
"MCHENRY, PATRICK TIMOTHY",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 010,INCUMBENT,1067.00,1189507.00
"MURPHY, TIMOTHY",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 010,OPEN,5.00,2655.00
"PETERSON, DON",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,0.00,0.00
"BOTHWELL, CECIL",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 011,OPEN,1199.00,94664.00
"CAMPBELL, SPENCE",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 011,OPEN,24.00,-3686.00
"HARRIS, SUSAN",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 011,OPEN,0.00,0.00
"HILL, THOMAS WADDELL (TOM)",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 011,OPEN,0.00,0.00
"HUNT, JEFF",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 011,OPEN,209.00,165365.00
"MEADOWS, MARK RANDAL",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 011,OPEN,963.00,1127952.00
"PATTERSON, VANCE MARTIN",LOST-PRIMARY RUNOFF,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 011,OPEN,36.00,404088.00
"PETRELLA, CHRIS",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 011,OPEN,24.00,55250.00
"ROGERS, HAYDEN",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 011,OPEN,722.00,766837.00
"WEST, KENNY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 011,OPEN,31.00,7395.00
"WINGFIELD, ETHAN",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 011,OPEN,206.00,259403.00
"BROSCH, JACK",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 012,CHALLENGER,15.00,13895.00
"NEWTON, MATTHEW DENNIS (MATT)",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 012,CHALLENGER,0.00,0.00
"WATT, MEL",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 012,INCUMBENT,607.00,831772.00
"COBLE, PAUL Y",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 013,OPEN,412.00,281774.00
"HOLDING, GEORGE EDWARD BELL",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 013,OPEN,1769.00,1731716.00
"HOLLIDAY, BERNARD A",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 013,OPEN,3.00,1306.00
"MALONE, CHARLES J",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2012,STANDARD,US HOUSE DISTRICT NC 013,OPEN,41.00,18250.00
"RANDALL, WILLIAM (BILL)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2012,STANDARD,US HOUSE DISTRICT NC 013,OPEN,49.00,30811.00
"BUTTERFIELD JR, GEORGE KENNETH (GK)",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 001,INCUMBENT,422.00,532059.00
"RICH, ARTHUR JASON",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 001,CHALLENGER,56.00,12632.00
"SHYPULEFSKI, JOHN BRENT",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 001,OPEN,3.00,3280.00
"WHITTACRE, DANIEL-LYNN (DAN)",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 001,CHALLENGER,0.00,0.00
"AIKEN, CLAYTON HOLMES",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 002,CHALLENGER,4031.00,1175298.00
"CRISCO SR, JOHN KEITH",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 002,OPEN,375.00,893018.00
"ELLMERS, RENEE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 002,INCUMBENT,1668.00,1836602.00
"MORRIS, ANTOINETTE KEITH (TONI)",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 002,OPEN,0.00,0.00
"ROCHE, FRANCIS XAVIER (FRANK)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 002,CHALLENGER,249.00,55386.00
"ADAME, MARSHALL",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 003,CHALLENGER,46.00,25388.00
"GRIFFIN, WILLIAM TAYLOR",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 003,CHALLENGER,269.00,301104.00
"JONES, WALTER B",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 003,INCUMBENT,627.00,435353.00
"NOVINEC, ALBIN DENNIS",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 003,CHALLENGER,0.00,0.00
"PRICE, DAVID E",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 004,INCUMBENT,952.00,838259.00
"WRIGHT, PAUL MICHAEL",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 004,CHALLENGER,0.00,0.00
"BRANNON, JOSHUA ETHAN",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 005,CHALLENGER,51.00,11006.00
"DOYLE, PHILIP GERARD",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 005,CHALLENGER,0.00,0.00
"FOXX, VIRGINIA",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 005,INCUMBENT,1454.00,1260344.00
"HENLEY, GARDENIA MAE",LOST-PRIMARY RUNOFF,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 005,OPEN,9.00,5894.00
"HOLLEMAN, MICHAEL WAYNE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 005,OPEN,3.00,1055.00
"STINSON, WILLIAM CLINTON",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 005,OPEN,0.00,0.00
"BERGER JR, PHILIP EDWARD",LOST-PRIMARY RUNOFF,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 006,OPEN,489.00,564855.00
"CAUSEY, JOHN MICHAEL (MIKE)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 006,OPEN,17.00,13425.00
"DAVIS SR, BRUCE EDWARD",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 006,OPEN,20.00,22524.00
"FJELD, LAURA BERNSTEIN",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 006,OPEN,1566.00,824764.00
"KOPF, KENNETH ALBERT",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 006,OPEN,2.00,200.00
"MATHENY, BRYAN ZACHERY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 006,OPEN,428.00,293025.00
"PHILLIPS, JEFFREY MARLIN (JEFF)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 006,OPEN,55.00,112035.00
"SUTHERLAND JR, CHARLES TAYLOR (CHARLIE)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 006,OPEN,3.00,5221.00
"VONCANNON, BRUCE DOUGLAS",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 006,OPEN,80.00,514414.00
"WALKER, BRADLEY MARK",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 006,OPEN,1233.00,835992.00
"WEBB, DONALD MATTHEW",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 006,OPEN,101.00,122374.00
"ANDRADE, CHRISTOPHER ALEN",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 007,OPEN,10.00,21234.00
"BARFIELD JR, JONATHAN",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 007,OPEN,70.00,55711.00
"CASTEEN JR, JOHN WESLEY",LOST-GENERAL,LOST,LIBERTARIAN,THIRD-PARTY,NC,2014,STANDARD,US HOUSE DISTRICT NC 007,OPEN,34.00,29042.00
"MARTIN JR, WALTER ANTHONY",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 007,OPEN,0.00,0.00
"ROUZER, DAVID CHESTON",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 007,OPEN,1636.00,1455949.00
"WHITE III, HAYWOOD EDWIN",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 007,OPEN,724.00,515681.00
"BLUE, ANTONIO",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 008,CHALLENGER,103.00,15691.00
"HUDSON JR, RICHARD LANE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 008,INCUMBENT,1249.00,1495228.00
"PITTENGER, ROBERT M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 009,INCUMBENT,701.00,881805.00
"STEINBERG, MICHAEL D (MIKE)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 009,CHALLENGER,2.00,1885.00
"LYNCH, RICHARD JASON",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,0.00,0.00
"MACQUEEN IV, PETER TATUM",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 010,CHALLENGER,114.00,81688.00
"MCHENRY, PATRICK TIMOTHY",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 010,INCUMBENT,1284.00,1706111.00
"HILL, THOMAS WADDELL (TOM)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 011,CHALLENGER,19.00,15379.00
"MEADOWS, MARK RANDAL",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 011,INCUMBENT,557.00,493530.00
"RUEHL, KEITH GARY",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 011,OPEN,61.00,28981.00
"ADAMS, ALMA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NC,2014,SPECIAL,US HOUSE DISTRICT NC 012,OPEN,0.00,0.00
"ADAMS, ALMA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 012,OPEN,1124.00,767316.00
"BATTLE III, GEORGE EDWARD",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,SPECIAL,US HOUSE DISTRICT NC 012,OPEN,0.00,0.00
"BATTLE III, GEORGE EDWARD",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 012,OPEN,518.00,301215.00
"BRANDON JR, KENNETH MARCUS",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,STANDARD,US HOUSE DISTRICT NC 012,OPEN,115.00,44128.00
"BRANDON, MARCUS",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NC,2014,SPECIAL,US HOUSE DISTRICT NC 012,OPEN,0.00,0.00
"COAKLEY, VINCENT E (VINCE)",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NC,2014,SPECIAL,US HOUSE DISTRICT NC 012,OPEN,0.00,0.00
"COAKLEY, VINCENT E (VINCE)",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NC,2014,STANDARD,US HOUSE DISTRICT NC 012,OPEN,343.00,383405.00
